"match_id","ldir_idx","raman_idx","match_distance","match_score","ldir_particle_id","ldir_x_um","ldir_y_um","ldir_area_um2","ldir_major_um","ldir_minor_um","ldir_feret_min_um","ldir_feret_max_um","ldir_material","ldir_quality","ldir_source_file","ldir_diameter_um","ldir_aspect_ratio","ldir_coord_match_cost","ldir_coord_source","ldir_x_norm","ldir_y_norm","ldir_x_aligned","ldir_y_aligned","ldir_align_method","raman_particle_id","raman_x_um","raman_y_um","raman_area_um2","raman_major_um","raman_minor_um","raman_feret_min_um","raman_feret_max_um","raman_material","raman_quality","raman_source_file","raman_x_norm","raman_y_norm","n_ref_candidates","next_best_distance","ambiguity_score","ambiguity_flag"
1,1,753,33.4211915203165,33.4741446593753,"A1",-4803.942,3503.604,134687.5,739,323,323,739,"Polyethylene terephthalate",0.839804702046538,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",414.112848365656,0.436986952993901,0.112641827172931,"circle_calibrated",3440.70330693069,4223.93590495049,3979.37208004465,3023.58089302771,"landmark_ransac","1",9359.80631981417,5325.87709626498,150249.579,784.432,326.916,326.916,778.189,"Polyethylene terephtalate (PET)",3.17,"Comparstic Raman F2Ba Au IAEA 240930.csv",4002.7253667582,2999.67273453918,1,361.438951084485,0.0924670443515769,FALSE
2,2,136,19.0353582432276,19.0636401477176,"A2",-819.52,-2274.116,127225,648,282,282,648,"Polyethylene terephthalate",0.844333495567771,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",402.477205663788,2.29917670131412,0.119907804622066,"circle_calibrated",-2337.01669306931,239.513904950495,-1382.91028690916,-611.16220811865,"landmark_ransac","506",3980.7930626438,1697.19590111301,136970.052,656.575,292.589,292.589,656.253,"Polyethylene terephtalate (PET)",90.42,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1376.28789041217,-629.008460612794,1,199.905837617894,0.0952216226902406,FALSE
3,3,411,12.3073219480582,12.3492244002059,"A3",-1252.082,-651.846,122862.5,427,367,367,427,"Polyethylene terephthalate",0.812781291857113,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",395.516616041632,0.859259087827103,0.125819119847476,"circle_calibrated",-714.746693069307,672.075904950495,117.627418245716,-223.936999617307,"landmark_ransac","190",5464.75776592933,2095.0247364619,129529.061,431.017,378.117,378.027,462.6,"Polyethylene terephtalate (PET)",41.55,"Comparstic Raman F2Ba Au IAEA 240930.csv",107.676812873357,-231.179625263904,1,308.184187075376,0.0399349559912626,FALSE
4,4,33,61.9178368288918,62.0251744453762,"A4",964.47,-5975.372,110687.5,633,331,331,633,"Polyethylene terephthalate",0.877067095480206,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",375.408713414957,1.91130130013285,0.0344202709498904,"circle_calibrated",-6038.27269306931,-1544.4760950495,-4812.338056683,-2230.32779213806,"landmark_ransac","579",606.423806971718,101.288019049657,130536.836,733.367,340.6,340.6,739.551,"Polyethylene terephtalate (PET)",93.29,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4750.65714608426,-2224.91634267615,0,459.052148191851,0.1348819237047,FALSE
5,5,41,113.75833790566,113.791775066834,"A5",-1997.554,-3572.244,83125,656,200,200,656,"Polyethylene terephthalate",0.750639130991263,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",325.327584376287,0.305047015828511,0.0801291039972072,"circle_calibrated",-3635.14469306931,1417.5479049505,-2572.33284020135,485.767124230567,"landmark_ransac","360",2679.95591848713,2856.23835215111,91420.473,660.172,211.368,211.368,656.27,"Polyethylene terephtalate (PET)",93.07,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2677.12503456884,530.033990425306,0,320.663076185977,0.354759703732408,FALSE
6,6,476,40.4966663750243,40.531631190184,"A6",-3227.874,4056.468,46587.5,308,219,219,308,"Polyethylene terephthalate",0.855330065989846,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",243.550913137991,1.40574005859434,0.0708684627993401,"circle_calibrated",3993.56730693069,2647.8679049505,4477.97672106587,1564.79536229326,"landmark_ransac","347",9842.02308993403,3930.89286841824,50541.327,316.428,221.644,221.644,317.421,"Polyethylene terephtalate (PET)",26.19,"Comparstic Raman F2Ba Au IAEA 240930.csv",4484.94213687806,1604.68850669244,1,179.314575935919,0.22584146416238,FALSE
7,7,58,69.8234373469966,69.9183974369237,"A7",-487.214,-4736.862,43325,362,175,175,362,"Polyethylene terephthalate",0.784742605201264,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",234.868267919808,2.06825403298173,0.132001940622531,"circle_calibrated",-4799.76269306931,-92.7920950495053,-3658.45218450265,-899.62347638978,"landmark_ransac","26",1720.68898649869,1492.82784139555,49919.954,411.058,170.931,170.931,411.529,"Polyethylene terephtalate (PET)",92.53,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3636.39196655728,-833.376520330254,0,181.793730416491,0.384080557602458,FALSE
8,8,422,14.0778727933577,14.2060149789274,"A8",5120.83,2575.924,41987.5,272,264,264,272,"Polyethylene terephthalate",0.810669600094303,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",231.21450080946,0.974011960996269,0.155431062400871,"circle_calibrated",2513.02330693069,-5700.83609504951,3049.58043193017,-6129.96515516168,"landmark_ransac","281",8414.31700982915,-3815.57510300728,52697.926,288.12,270.639,260.875,328.653,"Polyethylene terephtalate (PET)",37.14,"Comparstic Raman F2Ba Au IAEA 240930.csv",3057.23605677318,-6141.77946473308,1,343.728139667465,0.0409564163323293,FALSE
9,9,466,284.709332780547,284.975945449089,"A9",-4863.768,1642.472,39200,1113,318,318,1113,"Cellulosic",0.932922337685594,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",223.407677024802,0.286009461614576,0.246035765173966,"circle_calibrated",1579.57130693069,4283.76190495049,2262.01747399363,3092.59300883008,"landmark_ransac","659",7457.34634817462,5653.09561884632,84850.328,1185.804,415.348,415.348,1176.006,"Polycarbonate (PC)",28.18,"Comparstic Raman F2Ba Au IAEA 240930.csv",2100.26539511865,3326.89125712052,0,454.239444256794,0.626782496280954,FALSE
10,10,451,25.5103913883194,25.609855767069,"A10",-2216.474,5507.476,30512.5,235,171,171,235,"Polyethylene terephthalate",0.893747145334681,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",197.10332723912,1.37198063330004,0.399363864131095,"circle_calibrated",5444.57530693069,1636.4679049505,5809.7402999972,620.533755479219,"landmark_ransac","328",11165.2488698463,2972.20000401327,23629.816,226.443,141.155,141.155,228.479,"Polyethylene terephtalate (PET)",30.92,"Comparstic Raman F2Ba Au IAEA 240930.csv",5808.16791679033,645.995642287466,1,245.780285345461,0.103793481045328,FALSE
