Particle Name;Material;HQI;RamanSignal;FluorescenceSignal;Area [µm²];Aspect Ratio;CE Diameter [µm];Circularity;Convex Area [µm²];Convex Perimeter [µm];Convexity;Feret Max [µm];Feret Min [µm];Focus Z Position [µm];Length [µm];Num Pixels;Perimeter [µm];SE Volume [µm³];Solidity;Width [µm];Visual Center Point X [µm];Visual Center Point Y [µm];Visual Center Point Z [µm]
791;Polyethylene (PE);98.74;4.81192051373602;30.2206386126398;794.224;0.778;31.800;0.902;821.248;103.765;0.937;36.533;28.298;9.030;36.533;2410.000;110.792;16837.532;0.967;28.415;765.440527594578;-1002.64394397474;-13.2399997711182
270;Polypropylene (PP);97.95;5.62266765522893;110.600346255878;5471.084;0.596;83.463;0.558;6395.647;303.662;0.646;116.501;67.831;18.250;113.791;16601.500;470.191;304420.480;0.855;67.845;7175.47916468789;1332.66298560574;-13.2399997711182
330;Polyamide (PA Nylon 12);96.83;2.76177070351772;78.1155671843255;1093.788;0.935;37.318;0.840;1156.568;122.219;0.876;39.781;36.969;9.030;39.537;3319.000;139.577;27212.206;0.946;36.969;2766.06605600853;-3763.33495291096;-13.2399997711182
30;Polyamide (PA)    ;96.63;2.43291459070773;192.068360724973;438.471;1.000;23.628;0.905;452.312;76.049;0.927;24.507;23.651;18.250;23.950;1330.500;82.065;6906.773;0.969;23.950;3666.77809448242;2487.11289597603;-13.2399997711182
454;Polypropylene (PP);96.54;8.05365127277119;118.75695043978;1996.930;0.279;50.424;0.597;2170.275;225.707;0.850;99.314;29.380;9.030;105.231;6059.500;265.434;67128.672;0.920;29.380;1536.41329220288;383.155202536387;-13.2399997711182
630;Polyethylene terephtalate (PET)   ;95.76;5.49179068966781;316.892014899778;6329.736;0.445;89.773;0.554;7262.043;354.009;0.695;148.421;65.828;27.470;147.861;19207.000;509.054;378828.092;0.872;65.828;4810.32072076666;3682.32160477312;-13.2399997711182
101;Polyamide (PA)    ;95.48;4.47913006739067;128.655229829272;1986.549;0.548;50.293;0.622;2362.075;200.342;0.789;82.666;44.884;9.030;81.910;6028.000;253.895;66605.906;0.841;44.884;11956.3139998762;-3304.08088613014;-13.2399997711182
706;Polyamide (PA)    ;95.31;3.91689224856788;220.449421777802;2484.505;0.731;56.244;0.791;2608.746;192.002;0.859;72.907;46.905;9.030;68.389;7539.000;223.405;93158.714;0.952;50.015;6633.55936588652;-899.885846532534;-13.2399997711182
385;Cellulose Acetate Butyrate (CAB)   ;95.27;3.36930883985422;182.477983326439;1112.902;0.833;37.643;0.496;1447.399;140.942;0.591;48.305;39.739;18.250;47.709;3377.000;238.609;27928.619;0.769;39.739;8649.11065147085;4906.23369274401;-13.2399997711182
247;Cellulose Acetate Butyrate (CAB)   ;95.26;6.68861880059536;183.034475331652;1168.597;0.720;38.573;0.778;1245.053;128.905;0.828;47.074;33.638;18.250;46.902;3546.000;155.733;30051.141;0.939;33.784;6604.85598671272;5053.76906169735;-13.2399997711182
790;Cellulose Acetate Butyrate (CAB)   ;95.03;2.51037929013332;129.57878206882;816.139;0.951;32.236;0.816;880.402;109.723;0.884;39.611;31.131;18.250;33.286;2476.500;124.118;17539.224;0.927;31.662;8141.63490767804;5498.67143889127;-13.2399997711182
599;Cellulose Acetate Butyrate (CAB)   ;94.74;1.4017662068794;161.74901558311;653.340;0.887;28.842;0.885;683.329;96.098;0.939;32.605;28.187;-9.400;31.764;1982.500;102.337;12562.401;0.956;28.187;3216.13504145373;-4262.7737505351;-13.2399997711182
316;Polypropylene (PP)   ;94.64;1.1594301893628;62.3483396228453;400.078;0.600;22.570;0.755;439.789;81.423;0.867;32.117;18.592;18.250;31.574;1214.000;93.882;6019.784;0.910;18.944;5583.01568812539;4985.4550192637;-13.2399997711182
611;Polyamide (PA)    ;94.63;7.84225590682861;124.53046578824;1473.269;0.530;43.311;0.723;1601.960;157.980;0.839;63.441;33.694;18.250;63.629;4470.500;188.298;42538.975;0.920;33.694;4684.02585240193;2684.01807710831;-13.2399997711182
395;Polyamide (PA)    ;94.44;2.52637995088388;77.0622333189118;514.927;0.978;25.605;0.833;549.366;84.693;0.878;29.774;24.783;9.030;26.407;1562.500;96.515;8789.879;0.937;25.833;1149.49174094004;1239.66403708262;-13.2399997711182
423;Cellulose Acetate Butyrate (CAB)   ;94.37;0.188377605366643;158.539818280504;748.746;0.764;30.876;0.902;776.758;101.935;0.948;35.942;27.265;-0.180;35.707;2272.000;107.545;15412.226;0.964;27.265;6849.40877727351;-1583.60033845248;-13.2399997711182
303;Cellulose Acetate Butyrate (CAB)   ;94.29;2.14388780363763;160.345956060906;800.815;0.965;31.932;0.892;827.674;102.909;0.915;34.232;31.256;27.470;32.722;2430.000;112.416;17047.562;0.968;31.574;11747.353399491;535.85717974101;-13.2399997711182
690;Polyamide (PA)    ;94.11;9.13504024229484;274.434195306282;503.723;0.717;25.325;0.836;532.229;84.816;0.891;30.426;21.815;18.250;30.426;1528.500;95.170;8504.544;0.946;21.815;2107.03647017805;980.185489351456;-13.2399997711182
23;Cellulose Acetate Butyrate (CAB)   ;93.97;0.571497572011666;81.3686490301792;879.414;0.815;33.462;0.862;921.761;111.798;0.916;39.578;29.633;9.030;37.036;2668.500;122.019;19617.953;0.954;30.185;4326.38174789637;3451.54643621575;-13.2399997711182
106;Cellulose Acetate Butyrate (CAB)   ;93.94;8.21322750469954;342.167840011638;712.660;0.895;30.123;0.859;745.285;98.065;0.890;33.870;28.703;18.250;32.274;2162.500;110.177;14311.562;0.956;28.897;5181.74244727565;1515.21647715111;-13.2399997711182
514;Polyethylene terephtalate (PET)   ;93.92;3.27429101038874;240.885129135991;29412.328;0.538;193.517;0.451;35852.629;734.761;0.545;297.294;158.382;45.900;294.630;89249.000;1349.139;3794529.291;0.820;158.382;6091.06549950168;4596.23719766695;-13.2399997711182
567;Cellulose Acetate Butyrate (CAB)   ;93.81;6.31120746193239;198.693126893235;3354.526;0.565;65.354;0.665;3713.245;240.845;0.780;98.640;53.027;-0.180;94.069;10179.000;308.857;146153.945;0.903;53.152;1706.91136449526;-2758.14261424443;-13.2399997711182
657;Polyamide (PA)    ;93.73;0.364297370808374;143.149328011929;2253.323;0.449;53.563;0.797;2336.700;193.956;0.919;80.058;35.944;18.250;80.059;6837.500;211.146;80463.493;0.964;35.944;6476.26484801409;2663.35164410317;-13.2399997711182
28;Cellulose Acetate Butyrate (CAB)   ;93.58;5.47714024766201;479.546759270471;11240.414;0.632;119.632;0.558;12467.012;426.733;0.634;164.040;101.116;27.470;162.591;34108.000;673.347;896473.081;0.902;102.783;1290.13829889167;-1106.5501765839;-13.2399997711182
682;Polyacrylamide/acrylate   ;93.55;1.00489111688118;190.73117057248;761.434;0.912;31.137;0.902;788.127;102.521;0.945;36.533;29.194;-9.400;32.722;2310.500;108.472;15805.631;0.966;29.852;4663.93348698027;-4479.19722950557;-13.2399997711182
113;Cellulose Acetate Butyrate (CAB)   ;93.44;3.50044618662816;151.313251812401;804.935;0.898;32.014;0.876;846.788;105.464;0.919;34.910;30.426;18.250;33.870;2442.500;114.770;17179.271;0.951;30.426;7390.7545084914;4300.01832459332;-13.2399997711182
50;Cellulose Acetate Butyrate (CAB)   ;93.41;1.34355789470928;83.05660634386;1161.512;0.671;38.456;0.702;1246.536;132.166;0.768;50.063;32.719;9.030;48.731;3524.500;172.027;29778.248;0.932;32.719;562.220603044064;2460.13171955265;-13.2399997711182
139;Cellulose Acetate Butyrate (CAB)   ;93.40;1.66089779442181;115.628936153954;1178.154;0.642;38.731;0.845;1257.247;134.222;0.932;50.633;33.070;9.030;51.550;3575.000;144.054;30420.542;0.937;33.070;3000.85969765022;2361.96616277825;-13.2399997711182
476;Cellulose Acetate Butyrate (CAB)   ;93.40;1.81189864825947;132.834625775948;377.339;0.517;21.919;0.794;406.669;78.870;0.910;31.574;16.616;18.250;32.131;1145.000;86.715;5513.928;0.928;16.616;5597.36737771229;6026.23954810574;-13.2399997711182
61;Polyamide (PA)    ;93.39;6.86943663732616;166.833772511009;692.557;0.971;29.695;0.845;731.774;97.538;0.883;32.676;29.043;-0.180;30.030;2101.500;110.456;13710.300;0.946;29.163;6429.19130616905;-3234.61870852954;-13.2399997711182
718;Cellulose Acetate Butyrate (CAB)   ;93.38;6.24712152966865;141.997013981796;2405.412;0.701;55.341;0.749;2650.105;196.501;0.846;70.981;49.292;18.250;70.344;7299.000;232.196;88745.822;0.908;49.292;4814.33919385099;4441.8130177119;-13.2399997711182
568;Cellulose Acetate Butyrate (CAB)   ;93.35;4.92096634524757;160.453877385116;488.234;0.502;24.933;0.774;524.979;92.775;0.917;37.888;19.079;18.250;37.995;1481.500;101.189;8115.315;0.930;19.079;4731.09939424697;5871.24130056721;-13.2399997711182
579;Polyethylene terephtalate (PET)   ;93.29;14.7240678311673;591.12797350027;130536.836;0.464;407.682;0.433;173647.884;1733.566;0.585;739.551;340.600;45.900;733.367;396102.000;2960.985;35478350.868;0.752;340.600;606.423806971718;101.288019049657;-13.2399997711182
620;Cellulose Acetate Butyrate (CAB)   ;93.26;4.89224222709922;203.822333491839;644.277;0.487;28.641;0.695;724.194;108.513;0.838;43.388;21.146;9.030;43.424;1955.000;129.441;12301.923;0.890;21.146;4654.17433806118;1042.18478836687;-13.2399997711182
670;Cellulose Acetate Butyrate (CAB)   ;93.26;3.04823143680358;104.930722765884;447.369;0.583;23.866;0.820;490.046;85.280;0.933;32.605;18.998;-0.180;32.605;1357.500;91.447;7118.076;0.913;18.998;2775.25113734415;-1857.43057577055;-13.2399997711182
123;Cellulose Acetate Butyrate (CAB)   ;93.26;4.51539006373838;106.183736642628;3863.686;0.442;70.138;0.649;4359.500;267.001;0.787;109.227;47.843;18.250;108.347;11724.000;339.462;180661.905;0.886;47.843;1522.06160261598;1496.2722468964;-13.2399997711182
432;Cellulose Acetate Butyrate (CAB)   ;93.21;1.65269963159638;53.4035282492957;5169.542;0.492;81.130;0.600;5770.813;304.883;0.718;124.514;58.943;27.470;120.584;15686.500;424.611;279603.081;0.896;59.270;7356.31045348284;4834.4752448095;-13.2399997711182
363;Cellulose Acetate Butyrate (CAB)   ;93.20;0.0373519611102966;47.6207878583238;348.668;0.646;21.070;0.780;372.066;74.345;0.877;29.524;17.033;9.030;27.555;1058.000;84.813;4897.578;0.937;17.796;5367.16627673841;6241.51489190925;-13.2399997711182
272;Cellulose Acetate Butyrate (CAB)   ;93.20;2.82308317700915;180.234518424436;1391.870;0.577;42.097;0.803;1480.190;148.319;0.901;60.077;33.689;-0.180;58.361;4223.500;164.663;39062.643;0.940;33.689;4224.19771803764;-3664.02126096961;-13.2399997711182
595;Cellulose Acetate Butyrate (CAB)   ;93.09;3.31725096510818;99.2172897379776;693.710;0.758;29.720;0.831;732.598;101.471;0.903;35.592;26.981;27.470;35.592;2105.000;112.334;13744.566;0.947;26.981;8254.15215403934;5832.20470489084;-13.2399997711182
