Identifier,Coord. [pixels],Coord. [µm],Max AAU score,Spectrum yielding score,Group,Group ID,No. of pixels [-],Area on map [µm²],Major dim [µm],Minor dim [µm],Feret min [µm],Volume [µm³],Mass [ng]
MP_-1,[20;276],[500;6900],0.771,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[21;175],[525;4375],0.777,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[23;311],[575;7775],0.781,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[26;278],[650;6950],0.769,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[29;183],[725;4575],0.790,Protein4,Protein,25,5,3125.0,75.0,53.1,55.0,66314.570,66.31457
MP_-1,[30;327],[750;8175],0.822,Protein4,Protein,25,5,3125.0,80.9,49.2,55.0,61476.977,61.47698
MP_-1,[35;210],[875;5250],0.728,Protein4,Protein,25,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_0,[40;152],[1000;3800],0.886,PET6,PET,6,6,3750.0,104.1,45.9,77.5,68827.445,68.82745
MP_1,[46;130],[1150;3250],0.848,PET6,PET,6,11,6875.0,152.5,57.4,75.0,157875.766,157.87577
MP_-1,[48;178],[1200;4450],0.720,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[53;162],[1325;4050],0.693,Protein6,Protein,25,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_-1,[58;168],[1450;4200],0.782,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[61;234],[1525;5850],0.828,Protein4,Protein,25,11,6875.0,104.1,84.1,97.5,231336.656,231.33666
MP_2,[62;120],[1550;3000],0.878,PET6,PET,6,6,3750.0,80.9,59.0,50.0,88526.844,88.52684
MP_-1,[61;135],[1525;3375],0.666,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[62;226],[1550;5650],0.739,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[62;261],[1550;6525],0.704,Protein1,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[66;180],[1650;4500],0.773,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[67;116],[1675;2900],0.692,Cellulose7,Cellulose,26,4,2500.0,75.0,42.4,55.0,42441.320,42.44132
MP_-1,[68;108],[1700;2700],0.769,Cellulose6,Cellulose,26,8,5000.0,128.1,49.7,50.0,99411.547,99.41155
MP_-1,[69;219],[1725;5475],0.833,Protein4,Protein,25,6,3750.0,80.9,59.0,55.0,88526.844,88.52684
MP_-1,[72;253],[1800;6325],0.884,Protein4,Protein,25,10,6250.0,104.1,76.5,100.0,191187.328,191.18733
MP_-1,[73;309],[1825;7725],0.725,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
