"match_id","ftir_idx","raman_idx","match_distance","match_score","ftir_particle_id","ftir_x_um","ftir_y_um","ftir_area_um2","ftir_major_um","ftir_minor_um","ftir_feret_min_um","ftir_feret_max_um","ftir_material","ftir_quality","ftir_source_file","ftir_x_norm","ftir_y_norm","ftir_x_aligned","ftir_y_aligned","raman_particle_id","raman_x_um","raman_y_um","raman_area_um2","raman_major_um","raman_minor_um","raman_feret_min_um","raman_feret_max_um","raman_material","raman_quality","raman_source_file","raman_x_norm","raman_y_norm"
1,242,96,0.885051071573443,0.885051071573443,"MP_-1",7725,5200,4375,95.7,58.2,75,95.7,"Protein",0.875,"Comparstic Spotlight F2Ba Au 240926.csv",980.208333333333,223.958333333333,-1631.12572236653,-39.4418128236705,"627",4429.71391292205,1798.23179580479,1418.234,56.172,40.244,40.237,58.278,"Cellulose Acetate Butyrate (CAB)",91.38,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1630.51698150217,-40.0842690162183
2,122,186,2.69246493330483,2.69246493330483,"MP_-1",4400,10650,3125,80.9,49.2,75,80.9,"Protein",0.836,"Comparstic Spotlight F2Ba Au 240926.csv",-2344.79166666667,5673.95833333333,1268.14618401564,-5713.85690460803,"401",7331.05147980989,-3875.85219927226,995.746,42.108,33.686,33.562,42.622,"Polyacrylamide/acrylate",87.39,"Comparstic Raman F2Ba Au IAEA 240930.csv",1270.82058538567,-5714.16826409327
3,265,273,4.07079139978505,4.07079139978505,"MP_-1",8275,9825,4375,104.1,53.5,77.5,104.1,"Cellulose",0.704,"Comparstic Spotlight F2Ba Au 240926.csv",1530.20833333333,4848.95833333333,-2526.48572309082,-4601.2211422924,"565",3531.87221236555,-2759.29074941139,5365.297,111.024,68.403,68.403,110.439,"Polyamide (PA)",78.5,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2528.35868205867,-4597.6068142324
4,119,63,4.71686900541097,4.71686900541097,"MP_-1",4350,5450,5000,104.1,61.2,80,104.1,"Protein",0.859,"Comparstic Spotlight F2Ba Au 240926.csv",-2394.79166666667,473.958333333333,1709.12704800357,-542.176042252448,"315",7773.65758666991,1294.20045751284,2415.793,65.173,55.075,54.427,67.895,"Cellulose Acetate Butyrate (CAB)",92.39,"Comparstic Raman F2Ba Au IAEA 240930.csv",1713.42669224569,-544.115607308168
5,189,21,4.89676651709115,4.89676651709115,"MP_10",6275,2275,21875,228.9,121.7,145,228.9,"PET",0.942,"Comparstic Spotlight F2Ba Au 240926.csv",-469.791666666667,-2701.04166666667,32.0860897786835,2762.65527567918,"514",6091.06549950168,4596.23719766695,29412.328,294.63,158.382,158.382,297.294,"Polyethylene terephtalate (PET)",93.92,"Comparstic Raman F2Ba Au IAEA 240930.csv",30.8346050774626,2757.92113284594
6,63,230,4.99185573030421,4.99185573030421,"MP_-1",2925,3850,5625,104.1,68.8,97.5,104.1,"Cellulose",0.734,"Comparstic Spotlight F2Ba Au 240926.csv",-3819.79166666667,-1126.04166666667,3247.77182552063,943.05932072101,"533",9310.43650763523,2777.01702563142,2741.721,76.506,47.752,47.752,76.506,"Polyamide (PA)",83.37,"Comparstic Raman F2Ba Au IAEA 240930.csv",3250.20561321101,938.700960810412
7,228,246,5.04425378216616,5.04425378216616,"MP_-1",7375,6775,625,31.8,25,25,31.8,"Cellulose",0.673,"Comparstic Spotlight F2Ba Au 240926.csv",630.208333333333,1798.95833333333,-1401.27223520905,-1633.33565633289,"642",4659.91501389594,200.027643407534,868.703,37.314,29.852,29.852,37.76,"Polyamide (PA)",81.8,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1400.31588052828,-1638.28842141347
8,230,153,5.14171589232907,5.14171589232907,"MP_-1",7450,4350,3125,80.9,49.2,75,80.9,"Protein",0.8,"Comparstic Spotlight F2Ba Au 240926.csv",705.208333333333,-626.041666666667,-1293.47550133576,785.854630725772,"701",4770.13598992334,2620.29657534247,822.731,42.763,30.511,30.283,45.185,"Polyacrylamide/acrylate",89.66,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1290.09490450088,781.980510521462
9,339,241,5.21300256491343,5.21300256491343,"MP_-1",10700,7350,1875,60.4,39.6,30,60.4,"Protein",0.766,"Comparstic Spotlight F2Ba Au 240926.csv",3955.20833333333,2373.95833333333,-4753.82921541787,-1955.46699712232,"127",1302.76778572814,-113.413257170377,461.045,28.478,24.706,24.523,32.88,"Cellulose Acetate Butyrate (CAB)",82.22,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4757.46310869608,-1951.72932199139
10,292,81,5.24478267758751,5.24478267758751,"MP_-1",9275,10450,3125,80.9,49.2,55,80.9,"Protein",0.79,"Comparstic Spotlight F2Ba Au 240926.csv",2530.20833333333,5473.95833333333,-3568.78441250417,-5148.03549026451,"109",2492.80988627394,-3304.65495371361,1132.84,53.915,28.289,28.264,53.962,"Polyacrylamide/acrylate",91.74,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3567.42100815028,-5142.97101853462
