"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","x_norm","y_norm","x_aligned","y_aligned"
"MP_-1",525,4375,1875,60.4,39.6,30,60.4,"Protein",0.777,"Comparstic Spotlight F2Ba Au 240926.csv",-6219.79166666667,-601.041666666667,5596.93975488463,239.976988059567
"MP_-1",575,7775,1875,60.4,39.6,50,60.4,"Protein",0.781,"Comparstic Spotlight F2Ba Au 240926.csv",-6169.79166666667,2798.95833333333,5291.38015776607,-3140.20452514534
"MP_-1",725,4575,3125,75,53.1,55,75,"Protein",0.79,"Comparstic Spotlight F2Ba Au 240926.csv",-6019.79166666667,-401.041666666667,5382.83746421573,55.9683122505332
"MP_-1",750,8175,3125,80.9,49.2,55,80.9,"Protein",0.822,"Comparstic Spotlight F2Ba Au 240926.csv",-5994.79166666667,3198.95833333333,5087.11299507212,-3525.14953512208
"MP_-1",875,5250,1250,50,31.8,25,50,"Protein",0.728,"Comparstic Spotlight F2Ba Au 240926.csv",-5869.79166666667,273.958333333333,5182.7628767105,-604.558838108522
"MP_-1",1525,5850,6875,104.1,84.1,97.5,104.1,"Protein",0.828,"Comparstic Spotlight F2Ba Au 240926.csv",-5219.79166666667,873.958333333333,4490.69213389407,-1152.82316367814
"MP_-1",1525,3375,1875,60.4,39.6,50,60.4,"Protein",0.666,"Comparstic Spotlight F2Ba Au 240926.csv",-5219.79166666667,-1601.04166666667,4676.89637583946,1310.48844140404
"MP_-1",1550,6525,1875,60.4,39.6,30,60.4,"Protein",0.704,"Comparstic Spotlight F2Ba Au 240926.csv",-5194.79166666667,1548.95833333333,4415.02722341319,-1822.7545686809
"MP_-1",1650,4500,2500,60.4,52.7,50,60.4,"Protein",0.773,"Comparstic Spotlight F2Ba Au 240926.csv",-5094.79166666667,-476.041666666667,4467.84840702175,200.205602828572
"MP_-1",1675,2900,2500,75,42.4,55,75,"Cellulose",0.692,"Comparstic Spotlight F2Ba Au 240926.csv",-5069.79166666667,-2076.04166666667,4563.34093105632,1794.53031966902
"MP_-1",1700,2700,5000,128.1,49.7,50,128.1,"Cellulose",0.769,"Comparstic Spotlight F2Ba Au 240926.csv",-5044.79166666667,-2276.04166666667,4553.50580308138,1995.46665383673
"MP_-1",1725,5475,3750,80.9,59,55,80.9,"Protein",0.833,"Comparstic Spotlight F2Ba Au 240926.csv",-5019.79166666667,498.958333333333,4319.84941458623,-764.547325175153
"MP_-1",1800,6325,6250,104.1,76.5,100,104.1,"Protein",0.884,"Comparstic Spotlight F2Ba Au 240926.csv",-4944.79166666667,1348.95833333333,4181.25467679441,-1604.89057615453
"MP_-1",1950,9500,3125,80.9,49.2,50,80.9,"Cellulose",0.886,"Comparstic Spotlight F2Ba Au 240926.csv",-4794.79166666667,4523.95833333333,3793.09499641505,-4753.61126700063
"MP_-1",1975,9750,3125,80.9,49.2,50,80.9,"Protein",0.796,"Comparstic Spotlight F2Ba Au 240926.csv",-4769.79166666667,4773.95833333333,3749.40455172276,-5000.54977012059
"MP_-1",2000,9575,3125,80.9,49.2,55,80.9,"Protein",0.796,"Comparstic Spotlight F2Ba Au 240926.csv",-4744.79166666667,4598.95833333333,3737.68857281908,-4824.49537135776
"MP_-1",2050,5300,2500,60.4,52.7,50,60.4,"Protein",0.75,"Comparstic Spotlight F2Ba Au 240926.csv",-4694.79166666667,323.958333333333,4009.5502108241,-565.922715267423
"MP_-1",2175,9775,1875,60.4,39.6,30,60.4,"Protein",0.67,"Comparstic Spotlight F2Ba Au 240926.csv",-4569.79166666667,4798.95833333333,3548.46821755506,-5010.38489809553
"MP_-1",2225,7700,3125,80.9,49.2,75,80.9,"Cellulose",0.773,"Comparstic Spotlight F2Ba Au 240926.csv",-4519.79166666667,2723.95833333333,3654.81497383084,-2941.4225576338
"MP_-1",2225,4850,3125,80.9,49.2,50,80.9,"Protein",0.722,"Comparstic Spotlight F2Ba Au 240926.csv",-4519.79166666667,-126.041666666667,3869.23197970735,-104.881921478565
