"match_id","ftir_material_raw","raman_material_raw","ftir_material_norm","raman_material_norm","agree","match_distance"
1,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,0.703110944004998
2,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,1.8679202725845
3,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,2.82702525730941
4,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,2.94944438670751
5,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,3.06397617234351
7,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,3.17902133821039
8,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,3.21877965623543
9,"Protein","Polyamide (PA)","PROTEIN","PA",FALSE,3.65088563949291
11,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,3.85983445356939
13,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,4.31159459161821
15,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,4.35899801306559
17,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,4.59065774936237
19,"Cellulose","Polyethylene terephtalate (PET)","CELLULOSE","PET",FALSE,4.71505969509434
21,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,4.94560135829881
22,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,4.98163476788816
24,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,5.12101965975901
26,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,5.50690484774857
27,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,5.53106431668498
30,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,5.73269654535871
32,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,5.892335217031
34,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,5.98873035929064
35,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,6.07269493480132
37,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,6.18332988913659
41,"Polypro","Polypropylene (PP)","PP","PP",TRUE,6.53972373507468
42,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,6.65304624614676
43,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,6.87801749680991
45,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,7.23087244440621
47,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,7.3031456807978
54,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,7.45830683827929
56,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,7.59144788067483
57,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,7.61090200161951
59,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,7.65339963590584
64,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,8.06954472578349
65,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,8.08522313093416
66,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,8.1381452442667
68,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,8.21477309101806
71,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,8.35466125895883
73,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,8.57153010102601
75,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,8.74250651337828
79,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,9.04791557434272
80,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,9.08732093985339
81,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,9.19606833601089
82,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,9.20561461489619
84,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,9.43251148327578
86,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,9.63107614960874
