"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","diameter_um","aspect_ratio","coord_match_cost","coord_source","x_norm","y_norm","x_aligned","y_aligned"
"A1",7437.91926319648,485.279126955033,134687.5,739,323,323,739,"Polyethylene terephthalate",0.839804702046538,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",414.112848365656,0.436986952993901,0.226751490461224,"image",414.540824726107,-6363.17322445743,655.599587719938,5495.35686080989
"A4",5982.00844463802,1745.40759291521,110687.5,633,331,331,633,"Polyethylene terephthalate",0.877067095480206,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",375.408713414957,1.91130130013285,0.103511765583316,"image",-1041.36999383236,-5103.04475849724,-653.06080567334,3986.90062052859
"A5",12865.3601241438,2733.55236872146,83125,656,200,200,656,"Polyethylene terephthalate",0.750639130991263,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",325.327584376287,0.305047015828511,0.204744892179056,"image",5841.98168567346,-4114.899982691,6559.04983999137,3988.20766467191
"A8",3657.28320165538,843.489936042137,41987.5,272,264,264,272,"Polyethylene terephthalate",0.810669600094303,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",231.21450080946,0.974011960996269,0.179390404420395,"image",-3366.09523681499,-6004.96241537032,-3172.66106974032,4569.75062803596
"A9",9505.23767166042,8757.16557428215,39200,1113,318,318,1113,"Cellulosic",0.932922337685594,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",223.407677024802,0.286009461614576,0.454030776414585,"image",2481.85923319005,1908.71322286969,3998.47230744576,-2691.32582513749
"A10",12855.489498645,6386.6793699187,30512.5,235,171,171,235,"Polyethylene terephthalate",0.893747145334681,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",197.10332723912,1.37198063330004,0.145873989706141,"image",5832.11106017461,-461.772981493761,7087.97631154525,236.530529842522
"A11",6572.90663493841,1232.69200261291,27050,269,177,177,269,"Cellulosic",0.777987093272813,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",185.583214987472,1.52002962514685,0.0737711067178909,"image",-450.471803531965,-5615.76034879955,-122.114470019166,4600.43686587554
"A12",1402.16346153846,5445.21474358974,24787.5,297,147,147,297,"Polyethylene terephthalate",0.85274100878399,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",177.652540694252,2.02253527198147,0.00174392801310021,"image",-5621.21497693191,-1403.23760782272,-4808.68230154169,-487.047784709656
"A13",5112.11349419124,4625.80428954424,23425,263,130,130,263,"Polyethylene terephthalate",0.781167895347737,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",172.701002705315,0.495667293872211,0.0724457097078378,"image",-1911.26494427913,-2222.64806186822,-1121.041508978,901.585450453011
"A14",8655.96595790378,8975.85642182131,21112.5,437,191,191,437,"Polyethylene terephthalate",0.906822932618016,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",163.955084972138,0.437253457896217,0.139379548255756,"image",1632.58751943341,2127.40407040885,3158.89872534837,-3041.14855488264
"A15",4006.18766149871,10038.7923126615,18800,220,120,120,220,"Polyethylene terephthalate",0.87095202394214,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",154.715556557901,1.83333333333333,0.039879791452175,"image",-3017.19077697167,3190.33996124904,-1457.61441189816,-4818.46179240229
"A16",1777.57230586371,12410.2657818278,18375,831,79,79,831,"Polyvinyl chloride",0.692078609187708,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",152.956780282891,0.0946254456384251,0.421749056353872,"image",-5245.80613260667,5561.81343041533,-3395.52516182725,-7581.82173980813
"A18",5482.40070093458,2261.73169781931,14337.5,646,66,66,646,"Cellulosic",0.867312864284858,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",135.111331769916,0.102597408274143,0.401812125831301,"image",-1540.9777375358,-4586.72065359315,-1089.75788076743,3383.13087145339
"A19",8874.57246376812,11923.0960144928,13425,371,65,65,371,"Rubber",0.757959687261123,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",130.74112164147,5.75074564753788,0.0392329898914122,"image",1851.19402529774,5074.64366308029,3818.21332087742,-6034.46271336706
"A20",4565.94351424172,6148.39828714396,12862.5,152,110,110,152,"Polyethylene terephthalate",0.910899743593897,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",127.97282385005,0.723684219607356,0.122846492299928,"image",-2457.43492422865,-700.054064268504,-1457.0520688722,-742.069828769207
"A21",12897.3676335175,5342.23987108656,10525,497,95,95,497,"Polyethylene terephthalate",0.911626678055639,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",115.762024033521,5.20911818823921,0.264984903868723,"image",5873.98919504712,-1506.2124803259,6976.8488508061,1314.90895516305
"A23",9631.78673416407,10307.6551142264,9212.5,263,86,86,263,"Cellulosic",0.917786851676572,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",108.303828675965,3.04473685574197,0.0491018346382138,"image",2608.4082956937,3459.20276281392,4357.17676166841,-4264.35089830815
"A25",12131.6717791411,11849.2574130879,8875,417,53,53,417,"Cellulosic",0.928891530055395,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",106.30146264057,0.127386197322976,0.233991962716372,"image",5108.29334067073,5000.80506167548,7150.98483325967,-5478.04045382207
"A27",5295.76445578231,12047.4515306122,7062.5,375,54,54,375,"Cellulosic",0.910976576782371,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",94.8274975136014,0.144067807594663,0.291948051179723,"image",-1727.61398268806,5198.99917919979,162.637002992604,-6690.21622603698
"A29",12942.0079442283,6181.45995460441,6787.5,291,80,80,291,"Cellulosic",0.844400536822395,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",92.9629679490168,3.62500035579862,0.228285875258546,"image",5918.6295057579,-666.99239680805,7146.51186063678,459.971068980721
"A30",2694.98666666667,954.676666666666,6725,140,71,71,140,"Polyethylene terephthalate",0.892760518130499,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",92.5339718068125,1.98611115707511,0.126856307444249,"image",-4328.39177180371,-5893.77568474579,-4144.12689744293,4313.61121627061
"A31",11929.1817876344,12633.6105510753,6600,113,74,74,113,"Cellulosic",0.927399984619523,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",91.6699568847508,1.52380948711022,0.341791721371468,"image",4905.80334916404,5785.15819966281,7058.85303045633,-6313.11994809467
"A32",9212.5248015873,10490.7721560847,6450,111,81,81,111,"Polyethylene terephthalate",0.881695252838208,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",90.6222658265715,1.37755096363061,0.37478390806777,"image",2189.14636311693,3642.3198046722,3953.79254541762,-4514.20161738351
"A34",12951.5912073491,11418.4612860892,4662.5,97,65,65,97,"Polyethylene terephthalate",0.893210651413161,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",77.0485520780741,1.48148141136173,0.743366866326439,"image",5928.21276887871,4570.00893467678,7929.12750983702,-4914.80631938726
"A35",3963.27651515152,8274.79955808081,4650,97,62,62,97,"Polyamide (naturally occurring)",0.933982588596863,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.9452005197108,0.638095174277552,0.733774920669917,"image",-3060.10192331886,1426.34720666835,-1761.96277234569,-3013.91726622247
"A36",9334.02412280702,3115.44956140351,4600,94,66,66,94,"Polyethylene terephthalate",0.906023235391562,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.5303985732581,1.43749992724326,0.711278828278118,"image",2310.64568433664,-3733.00279000895,2990.21038342248,3075.07249763635
"A37",8186.78316326531,9174.38520408163,4575,164,62,62,164,"Carbonate",0.796739607038821,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.3221522047392,2.63671880999908,0.494918349925338,"image",1163.40472479493,2325.93285266917,2706.5410127544,-3314.18700833339
