"match_id","ftir_idx","raman_idx","match_distance","match_score","ftir_particle_id","ftir_x_um","ftir_y_um","ftir_area_um2","ftir_major_um","ftir_minor_um","ftir_feret_min_um","ftir_feret_max_um","ftir_material","ftir_quality","ftir_source_file","ftir_x_norm","ftir_y_norm","ftir_x_aligned","ftir_y_aligned","raman_particle_id","raman_x_um","raman_y_um","raman_area_um2","raman_major_um","raman_minor_um","raman_feret_min_um","raman_feret_max_um","raman_material","raman_quality","raman_source_file","raman_x_norm","raman_y_norm","n_ref_candidates","next_best_distance","ambiguity_score","ambiguity_flag"
1,1,191,15.5144085523302,16.0183563326641,"MP_-1",500,6900,2500,60.4,52.7,50,60.4,"Protein",0.771,"Comparstic Spotlight F2Ba Au 240926.csv",-6173,1905,6136.75391755719,-2761.22087318524,"398",11506.245014431,-425.706022581336,727.654,37.693,28.131,28.129,40.593,"Cellulose Acetate Butyrate (CAB)",87.18,"Comparstic Raman F2Ba Au IAEA 240930.csv",6149.16406137503,-2751.91038430714,1,104.317272954916,0.148723294933479,FALSE
2,2,319,6.34123468672599,6.81171585998062,"MP_-1",525,4375,1875,60.4,39.6,30,60.4,"Protein",0.777,"Comparstic Spotlight F2Ba Au 240926.csv",-6148,-620,6299.64076865623,-246.638983846813,"399",11662.96546472,2080.673046875,694.205,34.886,28.173,28.173,36.199,"Polyacrylamide/acrylate",68.57,"Comparstic Raman F2Ba Au IAEA 240930.csv",6305.88451166403,-245.531314850803,1,268.731773618897,0.0235968921773978,FALSE
3,3,446,13.2543989275422,13.6648561621736,"MP_-1",575,7775,1875,60.4,39.6,50,60.4,"Protein",0.781,"Comparstic Spotlight F2Ba Au 240926.csv",-6098,2780,5997.0514046501,-3626.3892203203,"214",11367.3206592298,-1298.86281704837,713.319,39.561,25.164,24.625,40.82,"Polyacrylamide/acrylate",31.99,"Comparstic Raman F2Ba Au IAEA 240930.csv",6010.23970617383,-3625.06717877417,1,190.407661131681,0.069610638819705,FALSE
4,4,214,19.454754481385,19.9916642567048,"MP_-1",650,6950,2500,60.4,52.7,50,60.4,"Protein",0.769,"Comparstic Spotlight F2Ba Au 240926.csv",-6023,1955,5983.76512991426,-2799.82338689257,"431",11358.1355778942,-482.538713345462,692.886,36.396,30.861,30.861,36.74,"Cellulose Acetate Butyrate (CAB)",85.46,"Comparstic Raman F2Ba Au IAEA 240930.csv",6001.05462483823,-2808.74307507127,1,112.518973963736,0.172901989736017,FALSE
5,5,347,15.1276524101383,15.6868592239256,"MP_-1",725,4575,3125,75,53.1,55,75,"Protein",0.79,"Comparstic Spotlight F2Ba Au 240926.csv",-5948,-420,6085.7407193934,-430.794035892876,"538",11457.4492698356,1899.26769049658,838.22,40.971,29.078,27.176,43.388,"Polyacrylamide/acrylate",60.26,"Comparstic Raman F2Ba Au IAEA 240930.csv",6100.36831677963,-426.936671229224,1,165.65593569078,0.0913197124332217,FALSE
6,6,701,24.7700887114974,25.0205237938154,"MP_-1",750,8175,3125,80.9,49.2,55,80.9,"Protein",0.822,"Comparstic Spotlight F2Ba Au 240926.csv",-5923,3180,5793.15730061069,-4011.43088534686,"513",11170.4154780976,-1670.85861114084,1706.099,67.894,36.67,36.67,66.75,"Polytetrafluoroethylene (PTFE)",6.29,"Comparstic Raman F2Ba Au IAEA 240930.csv",5813.33452504163,-3997.06297286664,1,213.306495345904,0.116124399640665,FALSE
7,7,343,11.0049357722587,11.430860669573,"MP_-1",875,5250,1250,50,31.8,25,50,"Protein",0.728,"Comparstic Spotlight F2Ba Au 240926.csv",-5798,255,5886.27537359927,-1091.35764539534,"387",11249.0627370338,1244.25657775043,545.246,27.555,25.833,25.667,30.85,"Polyacrylamide/acrylate",61.29,"Comparstic Raman F2Ba Au IAEA 240930.csv",5891.98178397783,-1081.94778397537,1,495.756669348062,0.0221982606643106,FALSE
8,8,76,7.67659398287735,7.94491690480999,"MP_0",1000,3800,3750,104.1,45.9,77.5,104.1,"PET",0.886,"Comparstic Spotlight F2Ba Au 240926.csv",-5673,-1195,5869.70876935102,360.88740847963,"601",11220.9334254434,2692.05502327697,6964.786,123.198,79.845,79.845,123.235,"Polyethylene terephtalate (PET)",91.94,"Comparstic Raman F2Ba Au IAEA 240930.csv",5863.85247238743,365.850661551166,1,291.674444404924,0.0263190489606972,FALSE
9,9,79,37.6909139604141,37.909115646048,"MP_1",1150,3250,6875,152.5,57.4,75,152.5,"PET",0.848,"Comparstic Spotlight F2Ba Au 240926.csv",-5523,-1745,5761.33747753324,919.367546735645,"141",11124.4900714195,3282.7705666738,11156.872,170.706,90.985,90.45,176.338,"Polyethylene terephtalate (PET)",91.82,"Comparstic Raman F2Ba Au IAEA 240930.csv",5767.40911836353,956.566204947997,1,257.18562489277,0.146551402226034,FALSE
10,10,308,25.6969665452006,26.1951154072939,"MP_-1",1200,4450,2500,60.4,52.7,50,60.4,"Protein",0.72,"Comparstic Spotlight F2Ba Au 240926.csv",-5473,-545,5622.34559821933,-271.079632538936,"440",10996.4730003043,2035.89577536387,793.235,37.669,28.31,28.31,37.888,"Polyacrylamide/acrylate",70.24,"Comparstic Raman F2Ba Au IAEA 240930.csv",5639.39204724833,-290.308586361934,1,117.926371128176,0.217906871036251,FALSE
11,11,45,14.8209842416231,15.0666034434315,"MP_-1",1325,4050,1250,50,31.8,25,50,"Protein",0.693,"Comparstic Spotlight F2Ba Au 240926.csv",-5348,-945,5527.69837627707,136.270780400196,"62",10891.4186325282,2449.22443546661,739.189,37.378,26.682,26.625,38.667,"Cellulose Acetate Butyrate (CAB)",93,"Comparstic Raman F2Ba Au IAEA 240930.csv",5534.33767947223,123.020073740806,1,137.643222498433,0.107676818172372,FALSE
12,12,65,29.2008441832252,29.7176871130241,"MP_-1",1450,4200,2500,60.4,52.7,50,60.4,"Protein",0.782,"Comparstic Spotlight F2Ba Au 240926.csv",-5223,-795,5392.15178316175,-3.70457096039922,"165",10777.1791834165,2330.96651327055,756.161,33.296,30.426,29.722,36.199,"Cellulose Acetate Butyrate (CAB)",92.36,"Comparstic Raman F2Ba Au IAEA 240930.csv",5420.09823036053,4.7621515447463,1,181.172376861259,0.161177132458703,FALSE
13,14,109,28.0775070661973,28.4333119673734,"MP_2",1550,3000,3750,80.9,59,50,80.9,"PET",0.878,"Comparstic Spotlight F2Ba Au 240926.csv",-5123,-1995,5381.87299948483,1197.89698227047,"763",10754.7905476609,3500.91624839469,7920.161,115.464,88.396,88.396,123.443,"Polyethylene terephtalate (PET)",91.06,"Comparstic Raman F2Ba Au IAEA 240930.csv",5397.70959460493,1174.71188666889,1,149.298708012468,0.18806262585911,FALSE
14,15,788,16.6992020267283,17.1337428764372,"MP_-1",1525,3375,1875,60.4,39.6,50,60.4,"Protein",0.666,"Comparstic Spotlight F2Ba Au 240926.csv",-5148,-1620,5378.86550842592,822.861262467335,"231",10752.494277327,3151.30909005779,668.499,38.555,26.031,25.894,40.185,"Polypropylene (PP) Lab bench",0.34,"Comparstic Raman F2Ba Au IAEA 240930.csv",5395.41332427103,825.104728331986,1,200.954316434667,0.0830994940691282,FALSE
15,16,311,23.896960701064,24.548623004023,"MP_-1",1550,5650,2500,60.4,52.7,50,60.4,"Protein",0.739,"Comparstic Spotlight F2Ba Au 240926.csv",-5123,655,5184.81239292375,-1439.21806390094,"769",10563.0519747799,898.093824914384,554.309,32.942,23.762,23.762,32.88,"Polyacrylamide/acrylate",70.17,"Comparstic Raman F2Ba Au IAEA 240930.csv",5205.97102172393,-1428.11053681142,1,341.500607630391,0.0699763343523179,FALSE
16,17,762,29.0839561060525,29.3822974411696,"MP_-1",1550,6525,1875,60.4,39.6,30,60.4,"Protein",0.704,"Comparstic Spotlight F2Ba Au 240926.csv",-5123,1530,5119.74521151207,-2309.96359801414,"774",10480.9603103429,45.0293958690072,986.189,43.492,31.896,31.896,44.008,"Polyacrylamide/acrylate",2.55,"Comparstic Raman F2Ba Au IAEA 240930.csv",5123.87935728693,-2281.1749658568,1,219.14424531468,0.132716038535666,FALSE
17,18,449,21.0061357817687,21.6694004205903,"MP_-1",1650,4500,2500,60.4,52.7,50,60.4,"Protein",0.773,"Comparstic Spotlight F2Ba Au 240926.csv",-5023,-495,5170.81548459473,-287.373398333685,"449",10508.5155543497,2030.72916711259,457.256,38.439,30.474,30.474,37.314,"Polyvinyl Chloride (PVC)",31.09,"Comparstic Raman F2Ba Au IAEA 240930.csv",5151.43460129373,-295.475194613214,1,236.899965459485,0.088670911120758,FALSE
18,19,336,11.3458194110591,11.561048632581,"MP_-1",1675,2900,2500,75,42.4,55,75,"Cellulose",0.692,"Comparstic Spotlight F2Ba Au 240926.csv",-4998,-2095,5264.91702962999,1306.70606922793,"700",10626.7734765458,3622.61857609161,1298.935,72.907,34.444,34.113,74.409,"Polyamide (PA)",63.2,"Comparstic Raman F2Ba Au IAEA 240930.csv",5269.69252348983,1296.41421436581,1,187.233355847863,0.0605972122845367,FALSE
19,22,408,23.0364952776086,23.4881219388997,"MP_-1",1800,6325,6250,104.1,76.5,100,104.1,"Protein",0.884,"Comparstic Spotlight F2Ba Au 240926.csv",-4873,1330,4885.8332718024,-2092.34542409922,"586",10258.7961555376,250.545590753424,2095.137,60.176,53.207,51.436,72.907,"Polymethylmethacrylate (PMMA)",43.33,"Comparstic Raman F2Ba Au IAEA 240930.csv",4901.71520248163,-2075.65877097238,1,303.846235215915,0.0758162932683326,FALSE
20,23,174,11.0240979706358,11.369509930669,"MP_-1",1825,7725,1875,60.4,39.6,50,60.4,"Protein",0.725,"Comparstic Spotlight F2Ba Au 240926.csv",-4848,2730,4756.84733771191,-3483.67921635429,"91",10118.7236651695,-1167.40134043236,878.919,41.792,32.837,32.766,43.055,"Cellulose Acetate Butyrate (CAB)",88.65,"Comparstic Raman F2Ba Au IAEA 240930.csv",4761.64271211353,-3493.60570215816,1,65.660456868774,0.167895541644921,FALSE
21,24,632,18.169054638785,18.5113313398015,"MP_-1",1950,9500,3125,80.9,49.2,50,80.9,"Cellulose",0.886,"Comparstic Spotlight F2Ba Au 240926.csv",-4723,4505,4500.46169340347,-5240.75341678226,"671",9871.87460427479,-2903.38171286387,1451.519,55.399,34.825,34.825,56.259,"Polycarbonate (PC)",10.23,"Comparstic Raman F2Ba Au IAEA 240930.csv",4514.79365121882,-5229.58607458967,1,71.1835917367338,0.255242173027481,FALSE
22,25,254,80.3310186275134,80.8403928499032,"MP_-1",1975,2550,16250,200.9,103,175,200.9,"Cellulose",0.693,"Comparstic Spotlight F2Ba Au 240926.csv",-4698,-2445,4992.402576213,1677.31303078579,"239",10364.4245908972,4082.44671045591,35471.83,426.172,250.3,242.64,481.892,"Polyethylene terephtalate (PET)",81.1,"Comparstic Raman F2Ba Au IAEA 240930.csv",5007.34363784123,1756.24234873011,0,212.822201128035,0.377456008826757,FALSE
23,26,44,9.57497277393699,9.94362847519731,"MP_-1",1975,7200,6250,115.1,69.1,75,115.1,"Protein",0.947,"Comparstic Spotlight F2Ba Au 240926.csv",-4698,2205,4646.61698356808,-2950.07752193008,"528",10013.0952298099,-622.037136130137,2866.128,66.863,66.21,53.371,83.748,"Cellulose Acetate Butyrate (CAB)",93.04,"Comparstic Raman F2Ba Au IAEA 240930.csv",4656.01427675393,-2948.24149785594,1,145.657684042879,0.065736132198273,FALSE
24,28,179,21.0212715943722,21.3402108480962,"MP_-1",2000,4850,2500,60.4,52.7,50,60.4,"Protein",0.898,"Comparstic Spotlight F2Ba Au 240926.csv",-4673,-145,4796.49039838478,-609.644739414294,"742",10140.5382333416,1700.06623903039,1126.579,49.527,34.867,34.867,49.37,"Cellulose Acetate Butyrate (CAB)",88.12,"Comparstic Raman F2Ba Au IAEA 240930.csv",4783.45728028563,-626.138122695414,1,219.877213964933,0.0956045931968409,FALSE
25,29,563,18.905098924604,19.5872291932389,"MP_-1",2000,9575,3125,80.9,49.2,55,80.9,"Protein",0.796,"Comparstic Spotlight F2Ba Au 240926.csv",-4673,4580,4445.12761876172,-5311.67062362558,"716",9812.17157559328,-2969.39948496361,742.979,37.457,28.217,28.217,37.345,"Polyacrylamide/acrylate",15.76,"Comparstic Raman F2Ba Au IAEA 240930.csv",4455.09062253731,-5295.60384668941,1,107.662571345581,0.175595833243862,FALSE
26,30,184,33.3838123264651,33.8441335911798,"MP_-1",2050,10250,2500,60.4,52.7,50,60.4,"Protein",0.799,"Comparstic Spotlight F2Ba Au 240926.csv",-4623,5255,4345.17604829481,-5979.67048243224,"258",9724.33923532145,-3628.42907079409,846.953,36.856,35.352,33.473,39.611,"Polyacrylamide/acrylate",87.54,"Comparstic Raman F2Ba Au IAEA 240930.csv",4367.25828226548,-5954.63343251989,1,298.663296482729,0.111777418650422,FALSE
27,31,785,17.3762910959232,17.8739852451242,"MP_-1",2050,5300,2500,60.4,52.7,50,60.4,"Protein",0.75,"Comparstic Spotlight F2Ba Au 240926.csv",-4623,305,4713.27038885231,-1053.7386037347,"362",10079.1130019096,1257.46013217038,775.44,38.289,29.432,28.719,38.563,"Polytetrafluoroethylene (PTFE)",1.13,"Comparstic Raman F2Ba Au IAEA 240930.csv",4722.03204885363,-1068.74422955542,1,161.174406484462,0.107810486012854,FALSE
28,32,103,4.44007373602183,4.91254240214531,"MP_-1",2125,7025,2500,75,42.4,55,75,"Protein",0.769,"Comparstic Spotlight F2Ba Au 240926.csv",-4548,2030,4510.35975685958,-2764.77404115116,"404",9871.87460427479,-438.335509417808,1068.413,40.443,35.539,35.539,40.919,"Polyacrylamide/acrylate",91.18,"Comparstic Raman F2Ba Au IAEA 240930.csv",4514.79365121882,-2764.53987114361,1,234.255302683579,0.0189539945741134,FALSE
29,33,82,19.7052351667268,20.249477349609,"MP_-1",2150,9000,2500,60.4,52.7,50,60.4,"Protein",0.674,"Comparstic Spotlight F2Ba Au 240926.csv",-4523,4005,4338.61538926999,-4728.31204153776,"335",9678.98789622684,-2412.55392899187,679.21,38.901,24.398,24.393,39.793,"Cellulose Acetate Butyrate (CAB)",91.72,"Comparstic Raman F2Ba Au IAEA 240930.csv",4321.90694317087,-4738.75829071767,1,143.411941530631,0.137403029039378,FALSE
30,34,622,15.6944598583895,16.379015606725,"MP_-1",2175,9775,1875,60.4,39.6,30,60.4,"Protein",0.67,"Comparstic Spotlight F2Ba Au 240926.csv",-4498,4780,4256.10601333069,-5497.68473799769,"22",9623.87740821314,-3159.98992267765,339.605,35.758,20.321,20.321,35.592,"Polyether sulphone (PES)",10.97,"Comparstic Raman F2Ba Au IAEA 240930.csv",4266.79645515717,-5486.19428440345,1,229.651553670273,0.0683403164819129,FALSE
31,35,592,8.36095613995487,8.92394843233313,"MP_-1",2225,7700,3125,80.9,49.2,75,80.9,"Cellulose",0.773,"Comparstic Spotlight F2Ba Au 240926.csv",-4448,2705,4360.65129872906,-3429.05577530572,"60",9725.4873704884,-1105.97610900043,827.674,51.811,23.145,23.145,51.092,"Polyphenylene sulphide (PPS)",13.18,"Comparstic Raman F2Ba Au IAEA 240930.csv",4368.40641743243,-3432.18047072623,2,41.0387134379101,0.203733388294559,FALSE
32,36,108,20.3003409209097,20.6858742166126,"MP_-1",2250,2825,4375,95.7,58.2,75,95.7,"Protein",0.858,"Comparstic Spotlight F2Ba Au 240926.csv",-4423,-2170,4698.29000847661,1424.09983422245,"582",10075.6685964088,3750.63564720676,1841.216,62.752,54.33,53.655,69.462,"Cellulose Acetate Butyrate (CAB)",91.08,"Comparstic Raman F2Ba Au IAEA 240930.csv",4718.58764335283,1424.43128548096,1,96.8920951044987,0.209514934102887,FALSE
33,37,341,13.4990087593641,14.226021473187,"MP_-1",2225,4850,3125,80.9,49.2,50,80.9,"Protein",0.722,"Comparstic Spotlight F2Ba Au 240926.csv",-4448,-145,4572.58440389853,-592.913178479863,"692",9935.59610604062,1745.417578125,731.444,31.942,30.909,28.703,34.669,"Polyvinyl Chloride (PVC)",61.42,"Comparstic Raman F2Ba Au IAEA 240930.csv",4578.51515298465,-580.786783600804,2,22.3307381174779,0.60450347356851,FALSE
34,38,385,16.5880157936893,17.117697968702,"MP_-1",2200,10000,2500,60.4,52.7,50,60.4,"Protein",0.788,"Comparstic Spotlight F2Ba Au 240926.csv",-4473,5005,4214.49600856446,-5719.7316701579,"148",9554.98929819602,-3393.6354291524,683.988,37.172,26.4,25.968,40.185,"Polyacrylamide/acrylate",51.46,"Comparstic Raman F2Ba Au IAEA 240930.csv",4197.90834514005,-5719.8397908782,1,239.322057610278,0.0693125237152269,FALSE
35,39,533,3.8247683111556,4.2115406422033,"MP_-1",2250,7875,4375,95.7,58.2,75,95.7,"Cellulose",0.813,"Comparstic Spotlight F2Ba Au 240926.csv",-4423,2880,4322.75941861492,-3601.34581980231,"125",9677.83976105989,-1271.881640625,1758.663,131.165,57.157,57.157,127.055,"Polyether sulphone (PES)",17.84,"Comparstic Raman F2Ba Au IAEA 240930.csv",4320.75880800392,-3598.0860023508,1,175.215763643221,0.0218289052972637,FALSE
36,40,124,33.1836298316918,33.6979409605723,"MP_-1",2300,4550,2500,60.4,52.7,50,60.4,"Protein",0.72,"Comparstic Spotlight F2Ba Au 240926.csv",-4373,-445,4520.25782031569,-288.79466552005,"417",9904.02238894944,2057.13627595248,733.751,32.132,30.135,26.463,37.929,"Polyacrylamide/acrylate",90.78,"Comparstic Raman F2Ba Au IAEA 240930.csv",4546.94143589347,-269.068085773324,1,112.184676149887,0.295794675088745,FALSE
37,41,164,9.09466714370959,9.51978633820224,"MP_-1",2300,9575,1250,50,31.8,30,50,"Protein",0.677,"Comparstic Spotlight F2Ba Au 240926.csv",-4373,4580,4146.58629278005,-5289.36187571301,"712",9495.86033709799,-2958.49220087757,555.133,29.764,25.889,25.833,29.852,"Cellulose Acetate Butyrate (CAB)",88.91,"Comparstic Raman F2Ba Au IAEA 240930.csv",4138.77938404202,-5284.69656260337,1,190.78183151678,0.0476705096675293,FALSE
38,42,157,9.88409969336944,10.3225802057101,"MP_-1",2350,2250,3750,80.9,59,50,80.9,"Protein",0.863,"Comparstic Spotlight F2Ba Au 240926.csv",-4323,-2745,4641.53466664848,2003.74029165818,"58",9988.98439130389,4332.16610926798,1505.071,45.877,44.733,42.855,50.833,"Polyamide (PA)",89.47,"Comparstic Raman F2Ba Au IAEA 240930.csv",4631.90343824792,2005.96174754218,1,117.040772621407,0.0844500550704811,FALSE
39,43,393,20.0043811260802,20.630643000352,"MP_-1",2350,7500,2500,60.4,52.7,50,60.4,"Protein",0.74,"Comparstic Spotlight F2Ba Au 240926.csv",-4323,2505,4251.13157817842,-3220.73291302103,"715",9619.85893512881,-910.793130618579,595.339,28.306,28.035,27.962,32.722,"Polyacrylamide/acrylate",49.37,"Comparstic Raman F2Ba Au IAEA 240930.csv",4262.77798207284,-3236.99749234438,1,212.08936920809,0.094320527241764,FALSE
40,44,476,27.4155292735602,27.610652355762,"MP_3",2500,2675,31875,292.5,138.7,195,292.5,"PET",0.91,"Comparstic Spotlight F2Ba Au 240926.csv",-4173,-2320,4460.65994411484,1591.96112047377,"347",9842.02308993403,3930.89286841824,50541.327,316.428,221.644,221.644,317.421,"Polyethylene terephtalate (PET)",26.19,"Comparstic Raman F2Ba Au IAEA 240930.csv",4484.94213687806,1604.68850669244,1,158.676270057313,0.172776491807237,FALSE
41,45,601,90.3332202361421,91.7510775352899,"MP_-1",2425,2775,8750,150,74.3,97.5,150,"Protein",0.95,"Comparstic Spotlight F2Ba Au 240926.csv",-4248,-2220,4527.85902630606,1486.8701581684,"589",9959.13287696314,3761.54293129281,453.795,25.531,24.165,23.239,30.039,"Polyether sulphone (PES)",12.43,"Comparstic Raman F2Ba Au IAEA 240930.csv",4602.05192390717,1435.33856956701,0,125.391477569679,0.720409568393075,TRUE
42,46,121,11.1826059421936,11.6758266443965,"MP_-1",2450,1850,3125,75,53.1,55,75,"Protein",0.775,"Comparstic Spotlight F2Ba Au 240926.csv",-4223,-3145,4571.76588853803,2409.23164227126,"517",9928.70729503891,4724.25426878211,971.194,45.716,37.492,36.88,48.796,"Polyacrylamide/acrylate",90.87,"Comparstic Raman F2Ba Au IAEA 240930.csv",4571.62634198294,2398.04990705631,1,157.713919025436,0.0709043691976871,FALSE
