"raman_particle_id","ftir_particle_id","ftir_material","ftir_raman_distance","ldir_particle_id","ldir_material","ldir_raman_distance","raman_material","n_instrument_agreement","ftir_family","raman_family","ldir_family","material_consensus"
"1","MP_4","PET",30.0124688810205,"A1","Polyethylene terephthalate",33.4211915203165,"Polyethylene terephtalate (PET)",3,"PET","PET","PET","Full agreement"
"10","MP_5","PET",8.02226957321067,"A11","Cellulosic",13.5957510245038,"Polyethylene terephtalate (PET)",1,"PET","PET","Cellulose","FTIR+Raman agree"
"105","MP_-1","Protein",19.9178799861905,"A437","Polyamide (naturally occurring)",8.64790067803711,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"108","MP_-1","Protein",27.9732058140461,"A196","Polyamide (naturally occurring)",11.0335884223384,"Polyphenylene sulphide (PPS)",0,"Protein","Unknown","Natural","No agreement"
"109","MP_-1","Protein",11.5693376166401,"A128","Polyamide (naturally occurring)",9.64471755904732,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"12","MP_-1","Protein",13.1547086408711,"A497","Polyamide (naturally occurring)",4.87461202974927,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"122","MP_-1","Protein",13.6999745989942,"A359","Polyamide (naturally occurring)",315.227545046473,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"123","MP_-1","Protein",13.7073723720537,"A45","Polyamide (naturally occurring)",22.7518882816835,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"125","MP_-1","Cellulose",3.8247683111556,"A187","Polyamide (naturally occurring)",50.5255397710485,"Polyether sulphone (PES)",0,"Cellulose","Unknown","Natural","No agreement"
"129","MP_-1","Protein",8.41370375595796,"A188","Cellulosic",22.1112106399875,"Polyether sulphone (PES)",0,"Protein","Unknown","Cellulose","No agreement"
"132","MP_-1","Protein",19.4226109282536,"A446","Polyamide (naturally occurring)",10.715048374586,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"133","MP_-1","Cellulose",53.6199845911298,"A47","Cellulosic",24.1455016310429,"Polyamide (PA)",1,"Cellulose","PA","Cellulose","FTIR+LDIR agree"
"134","MP_-1","Protein",6.06964126681018,"A465","Polycarbonate",7.33800617348451,"Polyvinyl Chloride (PVC)",0,"Protein","PVC","PC","No agreement"
"137","MP_-1","Protein",31.9462620395728,"A184","Cellulosic",8.80179253783845,"Polyethylene terephtalate (PET)",0,"Protein","PET","Cellulose","No agreement"
