"material_a","family_a","category_a","n_pairs","n_exact","n_family","n_disagree","exact_pct","family_or_better_pct"
"CARBONATE","Natural","Natural/Organic",8,0,0,8,0,0
"CELLULOSIC","Cellulose","Semi-synthetic",24,0,9,15,0,37.5
"CHITIN","Chitin","Natural/Organic",4,0,0,4,0,0
"NATURALLY OCCURRING","Natural","Natural/Organic",156,0,0,156,0,0
"POLYAMIDE","PA","Synthetic",5,0,1,4,0,20
"POLYCARBONATE","PC","Synthetic",5,0,0,5,0,0
"POLYETHYLENE TEREPHTHALATE","PET","Synthetic",34,0,20,14,0,58.8
"POLYPROPYLENE","PP","Synthetic",1,0,0,1,0,0
"POLYVINYL CHLORIDE","PVC","Synthetic",1,0,0,1,0,0
"RUBBER","Rubber","Synthetic",6,0,0,6,0,0
