"particle_id","centroid_y","centroid_x","tile_row","tile_col","local_y","local_x","area_px","max_intensity","mean_intensity","integrated_intensity","bbox_width","bbox_height","equivalent_diameter","aspect_ratio","x_um","y_um","feret_max_um","feret_min_um","area_um2","centroid_px_x","centroid_px_y","coord_source"
1,49.33,2790.2,0,2,49.33,290.2,30,110.9,95,2850.09,6,6,6.18,1,754.52,6371.742,15.6,15.6,202.8,2790.2,49.33,"circle_calibrated"
2,111.93,2898.73,0,2,111.93,398.73,140,175.43,120.4,16855.57,15,13,13.35,1.15,1036.698,6208.982,39,33.8,946.4,2898.73,111.93,"circle_calibrated"
3,124.48,2620.43,0,2,124.48,120.43,54,105.2,89.86,4852.33,9,8,8.29,1.12,313.118,6176.352,23.4,20.8,365.04,2620.43,124.48,"circle_calibrated"
4,173.5,2007.83,0,1,173.5,757.83,12,82.09,78.32,939.88,3,6,3.91,2,-1279.642,6048.9,15.6,7.8,81.12,2007.83,173.5,"circle_calibrated"
5,200.23,2120.66,0,1,200.23,870.66,216,170.46,128.76,27812.47,14,22,16.58,1.57,-986.284,5979.402,57.2,36.4,1460.16,2120.66,200.23,"circle_calibrated"
6,225.89,3052.74,0,2,225.89,552.74,19,89.66,83.16,1580.01,5,5,4.92,1,1437.124,5912.686,13,13,128.44,3052.74,225.89,"circle_calibrated"
7,257.07,2082.86,0,1,257.07,832.86,29,88.94,81.71,2369.45,7,6,6.08,1.17,-1084.564,5831.618,18.2,15.6,196.04,2082.86,257.07,"circle_calibrated"
8,272.82,2954.12,0,2,272.82,454.12,34,93.31,81.71,2778.17,13,6,6.58,2.17,1180.712,5790.668,33.8,15.6,229.84,2954.12,272.82,"circle_calibrated"
9,281.67,3420.29,0,2,281.67,920.29,42,90.74,84.55,3551.27,6,8,7.31,1.33,2392.754,5767.658,20.8,15.6,283.92,3420.29,281.67,"circle_calibrated"
10,287.23,3080.97,0,2,287.23,580.97,39,104,87,3393.15,9,7,7.05,1.29,1510.522,5753.202,23.4,18.2,263.64,3080.97,287.23,"circle_calibrated"
11,356.18,1758.81,0,1,356.18,508.81,722,180.65,135.41,97767.43,39,33,30.32,1.18,-1927.094,5573.932,101.4,85.8,4880.72,1758.81,356.18,"circle_calibrated"
12,365.86,3575.28,0,2,365.86,1075.28,245,138.81,104.78,25670.24,17,24,17.66,1.41,2795.728,5548.764,62.4,44.2,1656.2,3575.28,365.86,"circle_calibrated"
13,381.74,1647.51,0,1,381.74,397.51,3034,224.27,186.45,565683.32,90,48,62.15,1.88,-2216.474,5507.476,234,124.8,20509.84,1647.51,381.74,"circle_calibrated"
14,361.65,2729.53,0,2,361.65,229.53,17,114.02,94.91,1613.39,4,6,4.65,1.5,596.778000000001,5559.71,15.6,10.4,114.92,2729.53,361.65,"circle_calibrated"
15,401.42,1523.07,0,1,401.42,273.07,1044,182.69,137.21,143249.23,55,32,36.46,1.72,-2540.018,5456.308,143,83.2,7057.44,1523.07,401.42,"circle_calibrated"
16,410.91,2472.5,0,1,410.91,1222.5,32,119.39,98.81,3161.83,8,5,6.38,1.6,-71.5,5431.634,20.8,13,216.32,2472.5,410.91,"circle_calibrated"
17,415.5,3503.2,0,2,415.5,1003.2,10,90.08,83.58,835.81,3,4,3.57,1.33,2608.32,5419.7,10.4,7.8,67.6,3503.2,415.5,"circle_calibrated"
18,426.4,1882.29,0,1,426.4,632.29,220,169.64,121.08,26637.2,15,20,16.74,1.33,-1606.046,5391.36,52,39,1487.2,1882.29,426.4,"circle_calibrated"
