"match_id","material_a_raw","material_b_raw","material_a_norm","material_b_norm","family_a","family_b","category_a","category_b","tier","agree_exact","match_distance","ftir_material_raw","raman_material_raw","ftir_material_norm","raman_material_norm"
1,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,15.5144085523302,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
4,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,19.454754481385,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
8,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,7.67659398287735,"PET","Polyethylene terephtalate (PET)","PET","PET"
9,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,37.6909139604141,"PET","Polyethylene terephtalate (PET)","PET","PET"
10,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,25.6969665452006,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
11,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,14.8209842416231,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
12,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,29.2008441832252,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
13,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,28.0775070661973,"PET","Polyethylene terephtalate (PET)","PET","PET"
15,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,23.896960701064,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
20,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,11.0240979706358,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
22,"Cellulose","Polyethylene terephtalate (PET)","CELLULOSE","PET","Cellulose","PET","Semi-synthetic","Synthetic","Disagree",FALSE,80.3310186275134,"Cellulose","Polyethylene terephtalate (PET)","CELLULOSE","PET"
23,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,9.57497277393699,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
24,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,21.0212715943722,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
26,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,33.3838123264651,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
28,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,4.44007373602183,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
29,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,19.7052351667268,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
32,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,20.3003409209097,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
36,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,33.1836298316918,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
37,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,9.09466714370959,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
38,"Protein","Polyamide (PA)","PROTEIN","PA","Protein","PA","Natural/Organic","Synthetic","Disagree",FALSE,9.88409969336944,"Protein","Polyamide (PA)","PROTEIN","PA"
42,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,11.1826059421936,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
