"match_id","ftir_material","raman_material","agree","match_distance"
1,"Cellulose","Cellulose Acetate Butyrate (CAB)",FALSE,18.1370533119299
2,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,25.9563549885465
3,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,26.3214891427202
4,"Protein","Polyethylene terephtalate (PET)",FALSE,28.5455112797877
5,"Protein","Polyethylene terephtalate (PET)",FALSE,30.9564089794573
6,"Protein","Polyethylene terephtalate (PET)",FALSE,36.3017985051874
7,"Protein","Polyacrylamide/acrylate",FALSE,40.341373980731
8,"Cellulose","Cellulose Acetate Butyrate (CAB)",FALSE,43.4973532818081
9,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,45.0046753935632
10,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,49.5721894513387
