"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","x_norm","y_norm","x_aligned","y_aligned"
"MP_-1",500,6900,2500,60.4,52.7,50,60.4,"Protein",0.771,"Comparstic Spotlight F2Ba Au 240926.csv",-5610.34722222222,827.430555555556,2465.76134908768,5107.29952927279
"MP_-1",525,4375,1875,60.4,39.6,30,60.4,"Protein",0.777,"Comparstic Spotlight F2Ba Au 240926.csv",-5585.34722222222,-1697.56944444444,4541.51616454083,3637.85340626324
"MP_-1",575,7775,1875,60.4,39.6,50,60.4,"Protein",0.781,"Comparstic Spotlight F2Ba Au 240926.csv",-5535.34722222222,1702.43055555556,1698.43741282442,5547.2601819729
"MP_-1",650,6950,2500,60.4,52.7,50,60.4,"Protein",0.769,"Comparstic Spotlight F2Ba Au 240926.csv",-5460.34722222222,877.430555555556,2338.30877247342,5011.82339834889
"MP_-1",725,4575,3125,75,53.1,55,75,"Protein",0.79,"Comparstic Spotlight F2Ba Au 240926.csv",-5385.34722222222,-1497.56944444444,4261.2111372189,3587.0536580764
"MP_-1",750,8175,3125,80.9,49.2,55,80.9,"Protein",0.822,"Comparstic Spotlight F2Ba Au 240926.csv",-5360.34722222222,2102.43055555556,1266.92407769405,5631.90712182291
"MP_-1",875,5250,1250,50,31.8,25,50,"Protein",0.728,"Comparstic Spotlight F2Ba Au 240926.csv",-5235.34722222222,-822.569444444444,3616.4073488722,3850.17952580108
"MP_0",1000,3800,3750,104.1,45.9,77.5,104.1,"PET",0.886,"Comparstic Spotlight F2Ba Au 240926.csv",-5110.34722222222,-2272.56944444444,4744.94176036176,2914.75264658989
"MP_1",1150,3250,6875,152.5,57.4,75,152.5,"PET",0.848,"Comparstic Spotlight F2Ba Au 240926.csv",-4960.34722222222,-2822.56944444444,5114.14634701066,2475.01859696336
"MP_-1",1200,4450,2500,60.4,52.7,50,60.4,"Protein",0.72,"Comparstic Spotlight F2Ba Au 240926.csv",-4910.34722222222,-1622.56944444444,4092.14386059247,3122.14633743003
"MP_-1",1325,4050,1250,50,31.8,25,50,"Protein",0.693,"Comparstic Spotlight F2Ba Au 240926.csv",-4785.34722222222,-2022.56944444444,4351.52823637152,2789.17081594845
"MP_-1",1450,4200,2500,60.4,52.7,50,60.4,"Protein",0.782,"Comparstic Spotlight F2Ba Au 240926.csv",-4660.34722222222,-1872.56944444444,4155.64354582602,2771.76505327762
"MP_-1",1525,5850,6875,104.1,84.1,97.5,104.1,"Protein",0.828,"Comparstic Spotlight F2Ba Au 240926.csv",-4585.34722222222,-222.569444444444,2746.80410701453,3656.39218430196
"MP_2",1550,3000,3750,80.9,59,50,80.9,"PET",0.878,"Comparstic Spotlight F2Ba Au 240926.csv",-4560.34722222222,-3072.56944444444,5091.58155256855,2000.47302199516
"MP_-1",1525,3375,1875,60.4,39.6,50,60.4,"Protein",0.666,"Comparstic Spotlight F2Ba Au 240926.csv",-4585.34722222222,-2697.56944444444,4795.51490547503,2236.3282696536
"MP_-1",1550,5650,2500,60.4,52.7,50,60.4,"Protein",0.739,"Comparstic Spotlight F2Ba Au 240926.csv",-4560.34722222222,-422.569444444444,2898.01241482297,3520.94549626512
"MP_-1",1550,6525,1875,60.4,39.6,30,60.4,"Protein",0.704,"Comparstic Spotlight F2Ba Au 240926.csv",-4560.34722222222,452.430555555556,2173.72071839754,4022.98829437313
"MP_-1",1650,4500,2500,60.4,52.7,50,60.4,"Protein",0.773,"Comparstic Spotlight F2Ba Au 240926.csv",-4460.34722222222,-1572.56944444444,3792.5623246269,2778.34162487455
"MP_-1",1675,2900,2500,75,42.4,55,75,"Cellulose",0.692,"Comparstic Spotlight F2Ba Au 240926.csv",-4435.34722222222,-3172.56944444444,5102.63734671603,1839.6264598649
"MP_-1",1700,2700,5000,128.1,49.7,50,128.1,"Cellulose",0.769,"Comparstic Spotlight F2Ba Au 240926.csv",-4410.34722222222,-3372.56944444444,5253.84565452447,1704.17977182805
"MP_-1",1725,5475,3750,80.9,59,55,80.9,"Protein",0.833,"Comparstic Spotlight F2Ba Au 240926.csv",-4385.34722222222,-597.569444444444,2942.46219448645,3275.67859735843
"MP_-1",1800,6325,6250,104.1,76.5,100,104.1,"Protein",0.884,"Comparstic Spotlight F2Ba Au 240926.csv",-4310.34722222222,252.430555555556,2195.83230669249,3701.2951701126
"MP_-1",1825,7725,1875,60.4,39.6,50,60.4,"Protein",0.725,"Comparstic Spotlight F2Ba Au 240926.csv",-4285.34722222222,1652.43055555556,1022.62151246586,4483.86959861612
"MP_-1",1950,9500,3125,80.9,49.2,50,80.9,"Cellulose",0.886,"Comparstic Spotlight F2Ba Au 240926.csv",-4160.34722222222,3427.43055555556,-518.376328584008,5398.82903243158
"MP_-1",1975,2550,16250,200.9,103,175,200.9,"Cellulose",0.693,"Comparstic Spotlight F2Ba Au 240926.csv",-4135.34722222222,-3522.56944444444,5220.22506593488,1390.48075899012
"MP_-1",1975,7200,6250,115.1,69.1,75,115.1,"Protein",0.947,"Comparstic Spotlight F2Ba Au 240926.csv",-4135.34722222222,1127.43055555556,1371.13205064546,4058.47962893553
"MP_-1",1975,9750,3125,80.9,49.2,50,80.9,"Protein",0.796,"Comparstic Spotlight F2Ba Au 240926.csv",-4135.34722222222,3677.43055555556,-739.660893222931,5521.57578342172
"MP_-1",2000,4850,2500,60.4,52.7,50,60.4,"Protein",0.898,"Comparstic Spotlight F2Ba Au 240926.csv",-4110.34722222222,-1222.56944444444,3302.02852681353,2689.44206554758
"MP_-1",2000,9575,3125,80.9,49.2,55,80.9,"Protein",0.796,"Comparstic Spotlight F2Ba Au 240926.csv",-4110.34722222222,3502.43055555556,-609.146633883788,5400.47317533082
"MP_-1",2050,10250,2500,60.4,52.7,50,60.4,"Protein",0.799,"Comparstic Spotlight F2Ba Au 240926.csv",-4060.34722222222,4177.43055555556,-1196.57410244672,5746.37523693268
"MP_-1",2050,5300,2500,60.4,52.7,50,60.4,"Protein",0.75,"Comparstic Spotlight F2Ba Au 240926.csv",-4060.34722222222,-772.569444444444,2900.84749447428,2906.24740763596
"MP_-1",2125,7025,2500,75,42.4,55,75,"Protein",0.769,"Comparstic Spotlight F2Ba Au 240926.csv",-3985.34722222222,952.430555555556,1429.92591025489,3833.90677849814
"MP_-1",2150,9000,2500,60.4,52.7,50,60.4,"Protein",0.674,"Comparstic Spotlight F2Ba Au 240926.csv",-3960.34722222222,2927.43055555556,-219.247998765594,4946.39504575834
"MP_-1",2175,9775,1875,60.4,39.6,30,60.4,"Protein",0.67,"Comparstic Spotlight F2Ba Au 240926.csv",-3935.34722222222,3702.43055555556,-875.107581259773,5370.36747561328
"MP_-1",2225,7700,3125,80.9,49.2,75,80.9,"Cellulose",0.773,"Comparstic Spotlight F2Ba Au 240926.csv",-3885.34722222222,1627.43055555556,813.810281800072,4138.42074316141
"MP_-1",2250,2825,4375,95.7,58.2,75,95.7,"Protein",0.858,"Comparstic Spotlight F2Ba Au 240926.csv",-3860.34722222222,-3247.56944444444,4834.80565336723,1320.63110523321
"MP_-1",2225,4850,3125,80.9,49.2,50,80.9,"Protein",0.722,"Comparstic Spotlight F2Ba Au 240926.csv",-3885.34722222222,-1222.56944444444,3172.93180730004,2503.1956293239
"MP_-1",2200,10000,2500,60.4,52.7,50,60.4,"Protein",0.788,"Comparstic Spotlight F2Ba Au 240926.csv",-3910.34722222222,3927.43055555556,-1075.6980974294,5478.77014665747
"MP_-1",2250,7875,4375,95.7,58.2,75,95.7,"Cellulose",0.813,"Comparstic Spotlight F2Ba Au 240926.csv",-3860.34722222222,1802.43055555556,654.607862569043,4218.13525431371
"MP_-1",2300,4550,2500,60.4,52.7,50,60.4,"Protein",0.72,"Comparstic Spotlight F2Ba Au 240926.csv",-3810.34722222222,-1522.56944444444,3378.22814909379,2268.98452456469
"MP_-1",2300,9575,1250,50,31.8,30,50,"Protein",0.677,"Comparstic Spotlight F2Ba Au 240926.csv",-3810.34722222222,3502.43055555556,-781.275593235105,5152.14459369924
"MP_-1",2350,2250,3750,80.9,59,50,80.9,"Protein",0.863,"Comparstic Spotlight F2Ba Au 240926.csv",-3760.34722222222,-3822.56944444444,5253.39244837731,907.941072599331
"MP_-1",2350,7500,2500,60.4,52.7,50,60.4,"Protein",0.74,"Comparstic Spotlight F2Ba Au 240926.csv",-3760.34722222222,1427.43055555556,907.64226982474,3920.19786124737
"MP_3",2500,2675,31875,292.5,138.7,195,292.5,"PET",0.91,"Comparstic Spotlight F2Ba Au 240926.csv",-3610.34722222222,-3397.56944444444,4815.52914472359,1027.62614086458
"MP_-1",2450,1850,3125,75,53.1,55,75,"Protein",0.775,"Comparstic Spotlight F2Ba Au 240926.csv",-3660.34722222222,-4222.56944444444,5527.12090410231,595.659599587051
"MP_-1",2450,3575,1250,50,31.8,30,50,"Protein",0.687,"Comparstic Spotlight F2Ba Au 240926.csv",-3660.34722222222,-2497.56944444444,4099.23155972075,1585.40111585712
"MP_-1",2500,3200,2500,60.4,52.7,50,60.4,"Protein",0.786,"Comparstic Spotlight F2Ba Au 240926.csv",-3610.34722222222,-2872.56944444444,4380.95412686833,1328.85181972938
